Libellé;Code;Périodicité (PERIODICITE);Coordinateur Pédagogique (COORDO_PEDAGO);Nb jours Total (NB_JOUR);Nb d'heures Total (NB_HEUR);Taux de rémunération (CLPRIX);Prix (FIC_PRIX);Objectif (FIC_OBJ);Public (FIC_PUBLIC);Choisir son cours ou son niveau (CHOIX_COURS_NIV_UE);Prérequis (FIC_PRE_REQ_DES);Auto-Test (AUTOTEST_UE);Programme (FIC_DES_PRG);Renseignements Complémentaires (RENS_COMP_UE);Période(s) d'inscription (FIC_MODAL_INSCRIP);Organisation des sessions (FIC_ORG_SESS);Calendrier (FIC_CAL);Outils pédagogiques (FIC_OUTI_PEDAGO);Stage(s) (FIC_STAGE);Equipements spécifiques (FIC_EQUIP_SPE);Fournitures (FIC_FOURNITUR);Tenues professionnelles (FIC_TENU_PRO);En savoir plus (SAVOIR_PLUS_UE);Lien vers un autre site (LIEN_AUTRE_SITE_UE);Nouveau (FIC_NOUVEAU);Logo certificat de compétence (LOGO01);Logo Diplôme (LOGO02);Logo Cité des métiers (LOGO10);Logo Ecole Du Breuil (LOGO09);Logo Open Badge (LOGO13)
BTS Comptabilité et Gestion  2;1/CGO/2;Cours annuel;GUERTAOUI Abdelaziz;180;440;Taux 2;250;Préparer le B.T.S. Comptabilité et Gestion (diplôme de niveau III) pour se présenter à la session de mai 2025 aux épreuves E5 - E6 - CEJM - Mathématiques.;Personnes désirant acquérir une qualification professionnelle de niveau III en comptabilité et gestion pour exercer dans les fonctions correspondantes (tout secteur d’activité).;;Répondre à l’une des conditions suivantes :    - Être titulaire d’un baccalauréat général, technologique ou professionnel Comptabilité ou GA, ou d’un brevet professionnel de bureautique, option Finances et comptabilité.  - Avoir occupé pendant trois ans au moins, à la date de l’examen, un emploi dans le domaine de la comptabilité.    ;;Contenu de formation professionnelle en adéquation avec le référentiel du BTS Comptabilité et Gestion de l’Éducation Nationale.  Domaines généraux :    - mathématiques appliquées,    - culture économique, juridique et managériale.  Domaines professionnels :    - analyse et prévision de l'activité    - analyse de la situation financière    - fiabilisation de l'information et système d'information comptable - informatique    ;La préparation au BTS est proposée sur deux années (cf. fiche BTS CG1 sur ce site).;Inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus.;;Du lundi 07 octobre 2024 au lundi 30 juin 2025 inclus.  20 heures hebdomadaires en moyenne ( à titre indicatif qui peut connaitre des modifications selon les circonstances : 15 heures à Lescot et 5 h à Truffaut).  ;;Au moment de l’examen, les candidats doivent justifier de 10 semaines de stage en entreprise dans le domaine de la comptabilité.  La recherche du stage incombe à l’auditeur.  L’attestation de stage peut être remplacée par un ou plusieurs certificats de travail attestant que l’intéressé a été occupé dans des activités représentatives d’un emploi dans le domaine de la comptabilité.  Elles doivent avoir été effectuées en qualité de salarié à plein temps pendant six mois au cours de l’année précédant l’examen ou à temps partiel pendant un an au cours des deux années précédant l’examen.    ;L’utilisation d’un PC portable personnel ou d’une tablette est recommandée pour assister à ce cours et pouvoir travailler sur les exercices entre les cours.   Vous devez disposer de votre propre connexion internet, soit en partage de connexion (connecter ses appareils grâce aux data de son portable.) ou utiliser une clé internet 4G ou 5G;;;Référentiel du diplôme : https://enqdip.sup.adc.education.fr/bts/referentiel/BTS_ComptabiliteGestion.pdf    Consulter ce document pour toutes questions relatives au programme, au stage, à l’examen. ;;Non;Non;Oui;;;
Première EMC;1/EMC;Cours annuel;DUPORTAIL Cécile;2;8;;0;;;;;;;;;;;;;;;;;;;;;;;
Première SPE;1/SPE/LMA;Cours annuel;DUPORTAIL Cécile;;;;130;;;;;;;;;;;;;;;;;;;;;;;
Préparation au baccalauréat général –  Première générale;1ABC/LAVP;Cours annuel;DUPORTAIL Cécile;;672;Taux LMA;130;"Poursuivre le parcours lycéen pour intégrer une terminale l’année suivante. Le volume horaire des classes de première est de 24h par semaine, de 18h00 à 22h00 heures, du lundi au vendredi, et de 9h00 à 13h00 le samedi, sur 28 semaines, de septembre à juin. Les contenus des programmes étudiés sont ceux de l’éducation nationale. Les 24h de cours se répartissent en 12 heures d'Enseignements Communs Obligatoires (ECO) et 12 h de Spécialités (3 x 4h) dans trois domaines. •	12 heures d'Enseignements Communs Obligatoires (ECO) dans 5 matières : 4h de Français, 2h d’Histoire-géographie, 2 h d’Enseignement scientifique, 2h de LVA et  2h de LVB. Seuls l’anglais et l’espagnol sont enseignés au Lycée d’Adultes. Pour ces enseignements communs obligatoires (ECO), les auditeurs et auditrices sont réparti·e·s dans trois classes : Première A, Première B, Première C. Ces enseignements communs obligatoires (ECO) sont enseignés de 18 à 20 h du lundi au vendredi et le samedi de 9 à 11h.  •	12 h de Spécialités (3 x 4h) dans trois domaines choisis parmi les 7 spécialités proposées dans l'établissement :  Maths (M) Humanités Littérature Philosophie (HuLP) Langues Littératures et Cultures Étrangères (LLCE) Histoire Géographie Sciences Politiques (HGSP) Sciences et Vie de la Terre (SVT) Sciences Économiques et Sociales (SES) Physique Chimie (PC)  Pour les spécialités, les auditeurs et auditrices sont réparti·e·s en fonction de leur choix de spécialités.  Ces spécialités sont enseignées de 20 à 22h du lundi au vendredi et le samedi de 11 à 13h.  Le choix de spécialités a lieu en fin de seconde ou au moment de l'inscription en première, en fonction des combinaisons possibles présentées lors des réunions d’informations ou sur le site Internet du lycée.   Les inscriptions aux épreuves anticipées du baccalauréat - français écrit, français oral, spécialité abandonnée en fin de première – sont réalisées par le Lycée d’Adultes auprès du SIEC (Maison des examens). ";Cette formation est destinée en priorité aux personnes qui ont interrompu leur parcours scolaire, parfois depuis de nombreuses années, et qui souhaitent se préparer au baccalauréat général pour leur évolution personnelle, en vue de poursuivre des études supérieures, de passer un concours ou pour évoluer professionnellement.;;Avoir suivi une scolarité jusqu’au niveau 2de.;;;;Du 25 mai au 19 juillet 2024;;Les tests et entretiens auront lieu du 3 juin au 5 septembre. La rentrée aura lieu le 9 septembre 2024 à partir de 17h30. Les cours se dérouleront jusqu’au 24 mai 2025 inclus. Les vacances sont similaires au calendrier de l’Éducation nationale à l’automne et en décembre. Pendant les vacances d’hiver et de printemps, des cours et des  bacs blancs sont organisés.;;;;papeterie scolaire, à définir avec la ou le professeur de chaque cours.;;;www.lyceedadultes.fr;Non;;Oui;;;
Initiation informatique pour les apprenants en français;1ER CI;Session intensive;GUERTAOUI Abdelaziz;5;15;Taux 1;50;Apprendre le vocabulaire informatique et les bases de l’utilisation d’un ordinateur et Internet.;Toute personne qui désire utiliser un ordinateur au quotidien.;;Aucun;;Découverte des périphériques : écran, clavier, souris, etc. Manipulations de base de l’environnement Windows Initiation à l’utilisation d’Internet.  ;;Session 1 : du 05/11 au 28/11/2024 inclus. Session 2 : du 07/01 au 27/01/2025 inclus.;;Session 1 : du lundi 06 janvier au 03 février 2025 inclus. Session 2 : du samedi 24 mai au samedi 28 juin 2025 inclus.  3 heures hebdomadaires. ;;;;Les auditeurs devront se munir d’une clé USB pour enregistrer les travaux et exercices. Le professeur pourra donner des conseils.;;;;Non;Non;Non;Non;Non;Non
Seconde A;2/A/LMA;Cours annuel;DUPORTAIL Cécile;;;;130;;;;;;;;;;;;;;;;;;;;;;;
Seconde B;2/B/LMA;Cours annuel;DUPORTAIL Cécile;;;;130;;;;;;;;;;;;;;;;;;;;;;;
Seconde C;2/C/LMA;Cours annuel;DUPORTAIL Cécile;;;;130;;;;;;;;;;;;;;;;;;;;;;;
BAC Pro MEI - Atelier;2/MEI/ATE;Cours annuel;FARAH Reda;26;78;Taux 1;111;Préparer le baccalauréat professionnel en un an et se former comme professionnel de la maintenance industrielle. Acquérir ce diplôme offre la possibilité de travailler dans les grandes entreprises du secteur ou des sociétés de service. ;Personnes souhaitant compléter une formation technique de niveau IV de l’Education Nationale.;;Avoir suivi la formation du baccalauréat professionnel Electrotechnique Energie Equipements Communicants (ELEEC) ou le Bac STI2D, option énergie et environnement et être dispensé du domaine général.  Le relevé de notes du baccalauréat devra être présenté lors de l'entretien de sélection. ;;Enseignement professionnel : méthodologie de maintenance : hydraulique, pneumatique, mécanique et informatique appliquée aux automates industriels programmables. Interventions de maintenance sur divers systèmes : des équipements automatiques, des installations de production, des équipements de transport ou de bâtiments. Démontages simples, démontages avec manutention, diagnostic et dépannage. Module de formation habilitation électrique : présentation de la procédure d’habilitation selon le recueil UTEC 18-510 en relation avec les domaines de tension : travaux hors tension en BT & travaux au voisinage de pièces nues sous tension BT (B1V-BR). ;Programme en adéquation avec le contenu du référentiel de formation du baccalauréat professionnel Maintenance des Equipements Industriels de l’Education Nationale. ;"Inscription du 23 août au 7 septembre 2016 inclus.  Voir ci-dessous, rubrique ""Jours et Heures"".";;Cours du 3 octobre 2016 au 2 juin 2017.  12 heures hebdomadaires.;;;;;;;http://www2.cndp.fr/archivage/valid/brochadmin/bouton/a051.htm;;;Oui;;;
BAC Pro MEI - Construction;2/MEI/CON;Cours annuel;FARAH Reda;26;78;Taux 1;111;Préparer le baccalauréat professionnel en un an et se former comme professionnel de la maintenance industrielle. Acquérir ce diplôme offre la possibilité de travailler dans les grandes entreprises du secteur ou des sociétés de service. ;Personnes souhaitant compléter une formation technique de niveau IV de l’Education Nationale.;;Avoir suivi la formation du baccalauréat professionnel Electrotechnique Energie Equipements Communicants (ELEEC) ou le Bac STI2D, option énergie et environnement et être dispensé du domaine général.  Le relevé de notes du baccalauréat devra être présenté lors de l'entretien de sélection. ;;Enseignement professionnel : méthodologie de maintenance : hydraulique, pneumatique, mécanique et informatique appliquée aux automates industriels programmables. Interventions de maintenance sur divers systèmes : des équipements automatiques, des installations de production, des équipements de transport ou de bâtiments. Démontages simples, démontages avec manutention, diagnostic et dépannage. Module de formation habilitation électrique : présentation de la procédure d’habilitation selon le recueil UTEC 18-510 en relation avec les domaines de tension : travaux hors tension en BT & travaux au voisinage de pièces nues sous tension BT (B1V-BR). ;Programme en adéquation avec le contenu du référentiel de formation du baccalauréat professionnel Maintenance des Equipements Industriels de l’Education Nationale. ;"Inscription du 23 août au 7 septembre 2016 inclus.  Voir ci-dessous, rubrique ""Jours et Heures"".";;Cours du 3 octobre 2016 au 2 juin 2017.  12 heures hebdomadaires.;;;;;;;http://www2.cndp.fr/archivage/valid/brochadmin/bouton/a051.htm;;;Oui;;;
Préparation au BAC Pro Domaine Enseignement Général module 1;2/MU/EG/1;Cours annuel;FARAH Reda;50;180;Taux 1;160;Être capable de maîtriser les fondamentaux de niveau Bac en français, en histoire géographie, en sciences et mathématiques, en prévention santé environnement et en économie gestion .  Ce module, est le 1er d’une progression sur 2 modules, en cas de préparation au Bac pro MELEC ou Bac pro maintenance des véhicules option : voiture particulière.;Personnes travaillant dans le domaine de l’électricité et/ou souhaitant obtenir un diplôme d’État de niveau IV.;;Pas de prérequis.  ;;Le niveau 1 du Baccalauréat, en français, histoire géographie, sciences et mathématiques, prévention santé environnement et économie gestion du programme national « Disciplines d’enseignement général - BACCALAURÉAT PROFESSIONNEL ».  http://eduscol.education.fr/cid46463/programmes-de-l-enseignement-general-de-la-voie-rofessionnelle.html#lien1 ;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus.  ;;Du lundi 07 octobre 2024 au samedi 28 juin 2025 inclus.  6 heures hebdomadaires.      ;;;;;;;;Non;;Non;;;
Préparation au BAC Pro Domaine Enseignement Général module 2;2/MU/EG/2;Cours annuel;FARAH Reda;50;180;Taux 1;160;Être capable de maîtriser le niveau 2 du Bac en français,  histoire géographie, sciences et mathématiques, prévention santé environnement et économie gestion.  Ce module, est le second d’une progression sur 2 modules, en cas de préparation au Bac pro MELEC ou Bac pro maintenance des véhicules option : voiture particulière.;Personnes travaillant dans le domaine de l’électricité et/ou souhaitant obtenir un diplôme d’État de niveau IV.;;Module 1 enseignement général en Bac pro industriel.  Test d’entrée. ;;Le niveau 2 du Baccalauréat, en français, histoire géographie, sciences mathématiques, prévention santé environnement et économie gestion du programme national « Disciplines d’enseignement général - BACCALAUREAT PROFESSIONNEL ».  http://eduscol.education.fr/cid46463/programmes-de-l-enseignement-general-de-la-voie-rofessionnelle.html#lien1;;Inscriptions du lundi 19 août (10h) au lundi 9 septembre 2024 (minuit) inclus. ;;Du lundi 07 octobre 2024 au samedi 28 juin 2025 inclus  6 heures hebdomadaires.      ;;;;;;;;Non;;Non;;;
Bac professionnel aménagement paysager - préparation aux épreuves professionnelles;2/PAYS;Cours annuel;DE LAAGE Mahaut;120;512;Taux 1 Stage;160;Se préparer aux épreuves du baccalauréat professionnel Aménagements Paysagers;"Personnes qui se destinent à la création et à l’entretien de parcs, jardins et espaces verts en tant que jardinier qualifié, cadre de terrain ou entrepreneur : -	Dans les entreprises de paysage -	Dans les collectivités territoriales  ";;Être titulaire au minimum d'un bac général, professionnel ou technique dans une autre spécialité. Admission sur entretien. Dates des entretiens sur convocation : 15, 16 et 20 juin 2023 – apporter copie et original de votre pièce d’identité et de votre diplôme de Bac. En cas d’admission après entretien, seront à fournir avant le 7 juillet 2023 un certificat médical d’aptitude aux travaux physiques de jardinage et certificat de vaccinations à jour, la copie de l’assurance de responsabilité civile, de l’attestation de sécurité sociale, d’une pièce d’identité et du dernier diplôme.  ;;Contenu de la formation selon le référentiel Bac professionnel Aménagements Paysagers du Ministère de l’Agriculture, de l’Agroalimentaire et de la Forêt : - Paysage, jardins et espaces verts - Connaissance des végétaux - Botanique et écologie Gestion des ressources et développement durable - Gestion des sols vivants - Mise en place, entretien et protection des végétaux - Aménagement et composition paysagère - Conduite de gestion, d’entretien et de création - Organisation de chantier - Économie générale et d’entreprise - Machinisme - Santé et sécurité au travail;;Inscription du 2 au 31 mai 2024 inclus.  ;;Du lundi 02 septembre 2024 au samedi 7 juin 2025 Cours les lundis, mardis, jeudis et quelques vendredis de 18h30 à 21h30 Travaux pratiques le samedi de 8h à 12h et de 13h à 17h. 17 heures hebdomadaires en moyenne Le calendrier et le programme précis seront distribués aux auditeurs lors du premier cours.  Les dates exactes du premier et du dernier cours seront précisées avec le planning de formation.;;Trois semaines de stage pratique obligatoire sont à prévoir.;;Fournitures à la charge des auditeurs à prévoir et à ajuster selon les consignes que donneront les formateurs.;;;;Non;;Oui;;Oui;
Préparation au baccalauréat général –  Pré-seconde ;2A/LAVP;Cours annuel;DUPORTAIL Cécile;;420;Taux LMA;130;Cette classe de préparation à la seconde permet une reprise d'études progressive et facilite l’intégration en seconde générale l’année suivante. Les objectifs visent l'acquisition de savoirs fondamentaux et de compétences clés. Pour reprendre des études, il faut  se réhabituer à écouter et à mobiliser son attention, remettre en marche ses mécanismes intellectuels - en particulier la mémorisation -, renouer avec des connaissances scientifiques, acquérir des aptitudes à développer et à appliquer un raisonnement mathématique, réactiver des connaissances et acquérir des compétences linguistiques dans deux langues vivantes.  Les contenus de cette formation sont conçus pour actualiser ses connaissances, s'ouvrir à de nouveaux savoirs et à de nouvelles capacités, pour prendre appui sur de nouvelles ressources, et retrouver confiance en soi. Des séances et des entretiens d’orientation permettent de réfléchir à son projet d’études. L’aide personnalisée dispensée l’après-midi de 15h30 à 17h30 offre un soutien en français et en maths. Les  cours ont lieu de 18h30 à 21h30 heures, du lundi au vendredi, sur 28 semaines, de septembre à juin. 10 séances d'1h30 sont proposées par semaine, 2 séances par soir. Français : 2 séances. Expression écrite et orale : 1 séance. Histoire-géographie : 1 séance. Maths : 1 séance. Sciences : 1 séance. Économie : 1 séance. LVA (anglais) : 2 séances. LVB (espagnol) : 1 séance;Cette formation est destinée en priorité aux personnes qui ont interrompu leur parcours scolaire, parfois depuis de nombreuses années, et qui souhaitent, pour des raisons diverses, renouer avec les études.;;Avoir suivi une scolarité jusqu’au niveau 3ème.;;;;Du 25 mai au 19 juillet 2024.;;Les tests et entretiens auront lieu du 3 juin au 5 septembre. La rentrée aura lieu le 9 septembre 2024 à partir de 17h30. Les cours se dérouleront jusqu’au 24 mai 2025 inclus. Les vacances sont similaires au calendrier de l’Éducation nationale à l’automne et en décembre. Pendant les vacances d’hiver et de printemps, des cours et des  bacs blancs sont organisés.;;;;papeterie scolaire, à définir avec la ou le professeur de chaque cours.;;;www.lyceedadultes.fr;Non;;Oui;;;
Préparation au baccalauréat général –  Seconde générale;2AB/LAVP;Cours annuel;DUPORTAIL Cécile;;560;Taux LMA;130;"Deux classes de seconde permettent d’amorcer le parcours lycéen : les Secondes générales B & C Le volume horaire de ces 2 classes est de 20h par semaine, de 18h00 à 22h00 heures, du lundi au vendredi, sur 28 semaines, de septembre à juin. •	La seconde B comprend un enseignement en sciences et un enseignement en économie. 10 séances de 2 h sont proposées par semaine, 2 séances par soir. Français : 2 séances. Expression écrite et orale : 1 séance. Histoire-géographie : 1 séance. Maths : 2 séances. Sciences : 1 séance. Économie : 1 séance. LVA (anglais) : 1 séance. LVB (espagnol) : 1 séance. •	La seconde C comprend un enseignement de SVT et un enseignement en physique-chimie mais ne propose pas d'enseignement économique. Elle vise un renforcement en sciences afin de préparer à des spécialités scientifiques. 10 séances de 2 h sont proposées par semaine, 2 séances par soir. Des cours supplémentaires de sciences physiques ont lieu 10 samedis par an. Français : 2 séances. Expression écrite et orale : 1 séance. Histoire-géographie : 1 séance. Maths : 2 séances. SVT : 1 séance. Physique-chimie : 1 séance. LV1 (anglais) : 1 séance. LV2 (espagnol) : 1 séance.  Les contenus des programmes étudiés sont ceux de l’éducation nationale.";Cette formation est destinée en priorité aux personnes qui ont interrompu leur parcours scolaire, parfois depuis de nombreuses années, et qui souhaitent se préparer au baccalauréat général pour leur évolution personnelle, en vue de poursuivre des études supérieures, de passer un concours ou pour évoluer professionnellement.;;Avoir suivi une scolarité jusqu’au niveau 2de.;;;;Du 25 mai au 19 juillet 2024.;;Les tests et entretiens auront lieu du 3 juin au 5 septembre. La rentrée aura lieu le 9 septembre 2024 à partir de 17h30. Les cours se dérouleront jusqu’au 24 mai 2025 inclus. Les vacances sont similaires au calendrier de l’Éducation nationale à l’automne et en décembre. Pendant les vacances d’hiver et de printemps, des cours et des  bacs blancs sont organisés.;;;;papeterie scolaire, à définir avec la ou le professeur de chaque cours.;;;www.lyceedadultes.fr;Non;;Oui;;;
3DS MAX Design;3DMD;Semestriel;GUERTAOUI Abdelaziz;15;45;Taux 2;260;• concevoir puis mettre en mouvement des objets 3D, créés en cours ou issus de bibliothèques, dans des styles graphiques tendance à la fois minimalistes et ludiques.  • les réseaux sociaux constituent le média idéal pour la diffusion de vidéos. Le motion design permet de diffuser un message dynamique, innovant et ludique.   • imaginer un scénario, des story-boards puis créer des vidéos en motion de 10 secondes (maximum) autour de 2 thèmes distincts : un produit et un service.  • construire un espace 3D de mise en situation comme un stand pour un salon.   ;Cette formation sous 3ds Max de Motion Design s'inscrit dans cette dynamique multimédia.   Elle s'adresse à tous les graphistes désireux de produire du Motion Design dans des styles variés.   Elle peut également venir compléter des formations professionnelles telles le diplôme de Bachelor en Motion Design. ;;Bien utiliser Windows.   Acquérir 3ds Max (version 2023 de préférence) en tant qu’auditeur (licence Autodesk valable 1 an gratuitement renouvelable) ;;Ce cours s'articulera donc autour de 2 thèmes récurrents : la communication autour d'un produit et d'un service.  Entre modélisation rapide (LPM) et utilisation de ressources externes, il faudra établir un story-board court et percutant, découper les différents plans, les angles de vue, concevoir des animations et effectuer des rendus stylisés proches de ceux que l'on rencontre aujourd'hui dans nos espaces publicitaires.  Chacun sera à même de produire de courtes vidéos exportables vers des logiciels tiers tels qu’Adobe AfterEffects ou Première.  La réalisation de stands de salons virtuels sera également abordée afin de mettre en situation vos productions autour d'un logo, d'une thématique et d'un espace limité. ;"Les candidats qui choisissent la modalité distanciel (« formation ouverte à distance ») doivent disposer d’un ordinateur personnel, d’un micro et d’une webcam ainsi que d’une connexion à internet stable (box internet). Il faut, par ailleurs, qu’ils soient familiarisés avec l’utilisation des outils bureautiques et de visioconférence.  Vous êtes intéressé.e par un cours distanciel ou hybride? Testez d'abord vos pré-requis en cliquant ci-dessus sur ""lien vers un autre site"":";Semestre 1 : inscriptions du lundi 19 août (10h) au lundi 09 septembre 2024 (minuit) inclus. Semestre 2 : inscriptions du mardi 07 janvier au lundi 27 janvier 2025 inclus. ;;Semestre 1 : du lundi 07 octobre 2024 au samedi 15 février 2025 inclus. Semestre 2 : du lundi 03 mars au lundi 30 juin 2025 inclus.  3 heures hebdomadaires.  Le cours est proposé uniquement en distanciel.;;;"3DS Max ne fonctionne que sur PC ou sur un Windows installé via Bootcamp ou Parallel sur un ordinateur Apple.  Pour les sessions en distanciel et hybride, les cours se déroulent sur la plateforme pédagogique des Cours d’Adultes de Paris. Ceux-ci sont présentés sous la forme de classes virtuelles, où les interactions avec le.la formateur.rice et le groupe sont nombreuses. Nous précisons qu'aucun lien de visioconférence ne sera envoyé directement par mail. Pour y participer, il est très vivement recommandé de : •	Se connecter d’un ordinateur personnel ou d'une tablette, équipé·e d’un micro, d’une webcam et d’une connexion internet stable (box internet et possibilité de connexion en filaire) •	Être familiarisé·e avec l’utilisation des outils de visioconférence •	Pouvoir participer aux cours dans un environnement calme et sans être dérangé·e •	En fonction des formations, pouvoir consulter des fichiers PDF et travailler sur des fichiers de traitement de texte (Word, Writer) et tableurs (Excel, Calc) Par ailleurs, l’assiduité, en formation en distanciel comme en présentiel, est nécessaire pour des raisons de progression pédagogique et sera relevée par le·la formateur·rice.  N’hésitez pas à remplir l’auto-questionnaire du distanciel (voir rubrique « Lien vers un autre site ») pour vérifier si votre équipement et installation sont adaptés au suivi de cours en distanciel ou en hybride au SCAP. ";;;"Vous êtes intéressé.e par un cours distanciel ou hybride? Testez d'abord vos pré-requis en cliquant ci-dessous sur ""lien vers un autre site"":";http://verifiez-vos-prerequis-distanciel.fr.nf/ ;Non;;;;;
